Agency,Code,Time,Region Name,Delta. Deg.,ES. Az.,Op. ID,ISC ID,ISC Res,Def.,AmpMag,Slowness,SNR,SE. Az.,Phase ID,Reading ID
JMA,YOJ,04:56:41.6,,0,167,P,Pn,+0.3,T,,0.0,,,692436357,653952836
JMA,YOJ,04:56:54.6,,0,167,S,Sn,+0.4,T,,0.0,,,692436358,653952836
JMA,IRIF,04:56:44.7,,1,114,P,Pn,+0.3,T,,0.0,,,692436359,653952837
JMA,IRIF,04:56:59.6,,1,114,S,Sn,-0.1,T,,0.0,,,692436360,653952837
TAP,EOS1,04:57:00.2,,1,263,S,Sn,+0.6,T,,0.0,,252.0,675317845,642175925
TAP,EOS1,04:56:44.5,,1,263,P,Pn,+0.1,T,,0.0,,252.0,675317844,642175925
JMA,HATJ,04:56:47.4,,1,127,P,Pn,+1.2,T,,0.0,,,692436361,653952838
JMA,HATJ,04:57:03.7,,1,127,S,Sn,+0.8,T,,0.0,,,692436362,653952838
JMA,JKRS,04:56:47.7,,1,113,P,Pn,+0.8,T,,0.0,,,692436363,653952839
JMA,JKRS,04:57:04.5,,1,113,S,Sn,+0.4,T,,0.0,,,692436364,653952839
TAP,TIPB,04:56:47.3,,1,288,P,Pn,-0.0,T,,0.0,,279.0,675317846,642175926
TAP,TIPB,04:57:03.8,,1,288,S,Sn,-1.2,T,,0.0,,279.0,675317847,642175926
JMA,JIJ,04:56:47.9,,1,105,P,Pn,+0.3,T,,0.0,,,692436365,653952840
JMA,JIJ,04:57:04.5,,1,105,S,Sn,-0.9,T,,0.0,,,692436366,653952840
TAP,NANB,04:56:48.1,,1,259,P,Pn,+0.3,T,,0.0,,250.0,675317848,642175927
TAP,NANB,04:57:05.2,,1,259,S,Sn,-0.4,T,,0.0,,250.0,675317849,642175927
TAP,ENA,04:56:47.9,,1,259,P,Pn,+0.1,T,,0.0,,250.0,675317850,642175928
TAP,ENA,04:57:05.6,,1,259,S,Sn,-0.2,T,,0.0,,250.0,675317851,642175928
JMA,JISG,04:56:48.7,,1,93,P,Pn,-0.1,T,,0.0,,,692436367,653952841
JMA,JISG,04:57:06.6,,1,93,S,Sn,-0.9,T,,0.0,,,692436368,653952841
TAP,NDT,04:56:50.2,,1,268,P,Pn,+0.5,T,,0.0,,262.0,675317852,642175929
TAP,NDT,04:57:09.0,,1,268,S,Sn,-0.3,T,,0.0,,262.0,675317853,642175929
TAP,NACB,04:57:08.8,,1,250,S,Sn,-0.8,T,,0.0,,242.0,675317855,642175930
TAP,NACB,04:56:49.9,,1,250,P,Pn,-0.0,T,,0.0,,242.0,675317854,642175930
TAP,TWD,04:56:50.2,,1,246,P,Pn,-0.1,T,,0.0,,238.0,675317856,642175931
